id,category,filtered,content,summary,prompt_filter_result,completion_filter_result
236,['Age'],False,부모등골을 빼먹던 누나등골을 빼먹던 니등골안빼먹는데 왜 ㅈㄹ들이세요ㅋㅋㅋ,"부모와 누나의 희생을 언급하며, 자신은 희생하지 않는데 왜 비난받는지에 대한 불만을 표현하고 있다.",{},{}
237,['Not Hate Speech'],False,짬밥만드는거 처음에는 재미있는데 한달지나면 존나 지겨움,짬밥 만드는 것은 처음에는 재미있지만 한 달이 지나면 매우 지겹다.,{},{}
238,"['Politics', 'Physical']",False,"""부산문재인도 문제고 경상도도 문제네""",부산과 경상도에 문제가 있다는 내용입니다.,{},{}
239,['Physical'],True,"""서발넘 중동가라는 거하고 동남아 가라는 거하고 같아.에라이 좌좀치매들아""",부산과 경상도에 문제가 있다는 내용입니다.,,"{'hate': {'filtered': True, 'severity': 'medium'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}"
240,['Not Hate Speech'],False,초딩용 울트라맨 극혐이다 왜케 유치하냐,초딩용 울트라맨이 너무 유치하다는 의견이다.,{},{}
241,['Not Hate Speech'],False,"그래.. 다이아라는 그룹 가망도 없어보이는데 꽃다운 20대 얽매여서 쓰겄냐.. 그 얼굴에 그 피지컬이면 더 좋은 길,기회 충분히 많다. 화이팅.","다이아라는 그룹이 가망이 없어 보이니, 20대에 얽매이지 말고 더 좋은 기회를 찾아보라는 내용입니다. 화이팅!",{},{}
242,['Politics'],False,짱개는 나오지말아라수준 떨어지니 한국에 와서도 대국이니 머니ㅋ 이딴짓 할까바ㅋ,짱개는 한국에 와서도 대국인 척하지 말라는 내용입니다.,{},{}
243,['Not Hate Speech'],False,사진이 송혜교가 아닌데 성형심하게했나보네,송혜교가 아닌 사진이 성형을 심하게 한 것 같다는 내용입니다.,{},{}
244,"['Politics', 'Religion']",False,뭘 해도 남자는 욕 먹어.. 역시 조선여자랑은 사는거 아니야,"남자는 어떤 행동을 해도 비난을 받으며, 조선여자와는 함께 사는 것이 힘들다는 내용입니다.",{},{}
245,['Physical'],False,계속해서 왼쪽영화만 만들어지는구나...ㅋㅋㅋㅋㅋㅋ,왼쪽 영화만 계속 만들어진다는 내용입니다.,{},{}
246,['Politics'],False,"""난 여기 같이 놀아나는 전라도사람들이 더 역겨워""",전라도 사람들과 함께 노는 것이 불쾌하다는 내용입니다.,{},{}
247,['Politics'],False,"""쪽바리들은 하늘의 가르침을 겸허히 받아 들여야 미래가 있다는 것을 깨닫기 바란다""",쪽바리들은 하늘의 가르침을 겸허히 받아들여야 미래가 있다는 것을 깨달아야 한다.,{},{}
248,['Gender'],False,"""니가 무직자가 그렇지. 불쌍하다. 그 나이처먹고 직장도 없고 ㅉㅉ""",무직인 사람에 대한 안타까운 시선과 비난이 담긴 내용입니다.,{},{}
249,['Not Hate Speech'],False,"이쯤되면 신의경지죠....디스할 생각은 없지만,,,결국 이런 방송은 일반 남편들이 또 마누라와 싸움의 기초가된다...솔까 만의 하나 있을법한 것보다 보통 서민들 대중들이 공감하는 그런 컨셉이 좋다. 보통 부부라는게 사소한것에 싸우고 삐지고 칼로 물베기로 이런것이 사람사는게 아닌가 싶다...","이 방송은 일반 남편들이 아내와의 갈등을 유발할 수 있으며, 일반 서민들이 공감할 수 있는 일상적인 부부의 갈등을 다루는 것이 더 좋다는 의견을 제시하고 있다. 부부는 사소한 일로 다투고 감정이 상하는 것이 일반적이라는 생각을 표현하고 있다.",{},{}
250,['Not Hate Speech'],False,러시아에 미녀가 많은 이유,러시아에는 미녀가 많은 이유에 대한 설명입니다.,{},{}
251,"['Politics', 'Religion']",False,"""ㄱ ㅐ한남충들 주거^^""","요약: ""한남충들""에 대한 언급이 포함된 문장입니다.",{},{}
252,"['Politics', 'Age']",True,짱깨새끼 한국방송에 그만쳐 나오라고ㅗㅗ,"요약: ""한남충들""에 대한 언급이 포함된 문장입니다.",,"{'hate': {'filtered': True, 'severity': 'medium'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}"
253,['Politics'],False,비빔밥하나에 15000원이 말이냐방구냐ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ외국까지가서 바가지씌우는 갓갓조선 국민들 인성ㅋㅋㅋㅋㅋ,"비빔밥 가격이 15,000원이라며 외국에서 바가지를 씌운다고 비판하는 내용입니다.",{},{}
254,['Not Hate Speech'],False,그러게 남자를 잠만났어야지 ㅈㅉ.줄잣못스니 조망간 사형 내리겟네 ㅉㅉ,"남자와의 관계에 대한 불만을 표현하며, 그에 대한 처벌을 언급하고 있습니다.",{},{}
255,['Politics'],False,"""전라도출신과 부모가 전라도인 사람제외하고 여론 조사하라.""",전라도 출신과 부모가 전라도인 사람을 제외하고 여론 조사를 실시하라는 내용입니다.,{},{}
256,['Not Hate Speech'],True,나도입덕해야지 넘좋았네요 오곡밥에서 빵터져버렸네,,{},"{'filtered': True, 'category': 'sexual', 'severity': 'medium'}"
257,['Age'],False,하루라도 8282 폐지해라 메뚜기 박명수~거지 같은 새끼들 방송에서 나타나지 말아라,박명수에게 방송에서 사라져달라는 내용입니다.,{},{}
258,['Politics'],False,"""가만히 있는 전라도는 왜 자꾸 들먹일까 피해망상인가 적당히 하죠""","전라도에 대한 언급이 잦은 이유에 대한 의문을 제기하며, 과도한 언급을 자제하자는 내용입니다.",{},{}
259,['Age'],True,"""국민팔이 개섘 똥고물 송편이나 쳐먹어라 괴뢰들아""","전라도에 대한 언급이 잦은 이유에 대한 의문을 제기하며, 과도한 언급을 자제하자는 내용입니다.",,"{'hate': {'filtered': True, 'severity': 'medium'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}"
260,['Not Hate Speech'],False,누군지도모르겠고 개성도 그닥,누군지 알 수 없고 개성이 별로 없다.,{},{}
261,['Not Hate Speech'],False,대체 감옥을 보여줌으로써 주려는 메세지가 무엇일까..,대체 감옥을 보여주는 목적이 무엇인지에 대한 질문을 제기하고 있다.,{},{}
262,['Not Hate Speech'],False,우와~ 용기있는 결정 환영한다!,용기 있는 결정을 환영한다!,{},{}
263,['Not Hate Speech'],False,본드는 돼지본드지,요약: 본드는 돼지 본드이다.,{},{}
264,['Age'],False,병신들 그래 있는 부심이 군대 빨리 갔다오는 부심밖에 없는데 그거라도 부려야지 ㅉㅉ 현실에서는 걍 찌질이,"부심이 군대 경험밖에 없다는 점을 비판하며, 현실에서는 찌질이로 보인다는 내용입니다.",{},{}
265,['Origin'],False,"""와.. 진짜 못생겼다.""","요약: ""정말 못생겼다.""",{},{}
266,['Not Hate Speech'],False,베컴 개잘생겻 ㅠㅠㅠㅠ,베컴이 매우 잘생겼다는 내용입니다.,{},{}
267,['Not Hate Speech'],False,"""교활이가 빤스 내리면 인정한다""","""교활이가 바지를 내리면 인정한다""라는 내용입니다.",{},{}
268,['Not Hate Speech'],False,백종원 같은 분을 남편으로 둔 소유진이 정말 행복하고 결혼 잘 했구나 싶다,소유진이 백종원과 결혼해서 행복하다는 내용입니다.,{},{}
269,['Not Hate Speech'],False,~~~~~~~,문장을 제공해 주시면 요약해 드리겠습니다. 내용을 입력해 주세요.,{},{}
270,['Age'],False,둘다 똑같다 아주 지뢀들허고 자빠짓네~,둘 다 똑같아서 매우 어리석게 행동하고 있다.,{},{}
271,['Profanity'],False,"""아주 사이비들이 판을 치는구나...진짜""",사이비들이 활개 치고 있다는 불만을 표현한 문장입니다.,{},{}
272,['Politics'],False,"""아이고 일베충 TK 벌레들 또 떼로 몰려왔네 ㅋㅋㅋ""","""일베 사용자들이 다시 모여들었다.""",{},{}
273,['Not Hate Speech'],False,프로야구 kbo 보고있나 키움야구구단 보고있나 학폭한놈들은 이렇게 처리하는거다 안우진 학폭,"프로야구 KBO와 키움 야구 구단에 대한 언급이 있으며, 학폭(학교 폭력) 문제에 대한 비판이 포함되어 있다. 특히 안우진의 학폭 사건에 대한 언급이 있다.",{},{}
274,['Not Hate Speech'],False,합시다 그거 나랑,나랑 그거 합시다.,{},{}
275,['Not Hate Speech'],False,"""간경화야 , 그래서 그 연구를 어떻게 할건데? 환장하겄네""",간경화에 대한 연구에 대한 고민과 어려움을 표현한 문장입니다.,{},{}
276,['Gender'],False,"""댓글단 니들 보니 딱 일베네 나이 처먹은 멍멍이들""","""댓글을 단 사람들을 보니 일베와 같은 사람들이다.""",{},{}
277,['Age'],False,공황장애라 지럴하더니 맨날 해외 처돌아댕기고 방송도 이거저거 막하고지럴,공황장애를 주장하면서도 해외 여행과 방송 활동을 활발히 하는 상황을 비판하는 내용입니다.,{},{}
278,['Not Hate Speech'],False,깡말랐는데 슴이..,요약: 마른 몸매인데 가슴이 크다.,{},{}
279,['Politics'],False,"""몸캠녀들에게 감정이입할순 없잖아~~~~""",몸캠녀들에게 감정이입하기 어렵다는 내용입니다.,{},{}
280,['Politics'],False,"""착한짱개는죽은짱개뿐지이다...""",착한 짱개는 죽은 짱개뿐이라는 내용입니다.,{},{}
281,['Age'],False,박수홍 돈지랄에 염증이 난다.,박수홍의 돈 문제에 대한 불만이 커지고 있다.,{},{}
282,['Not Hate Speech'],False,이빨만 이뻤어도 완벽한데 ㅠㅠ 몰입이 안된다 최성국이랑 자꾸 오버랩되 ㅠㅠ,"이빨이 예쁘기만 했어도 완벽했을 텐데, 몰입이 안 되고 최성국이 자꾸 떠오른다.",{},{}
283,['Age'],False,"""좌표찍었네 돼지련들 다 도축해버리고싶누""","요약: ""좌표를 찍었고, 돼지를 도축하고 싶다는 내용입니다.""",{},{}
284,['Not Hate Speech'],False,근데 결혼식은 왜 안갔음?,결혼식에 왜 참석하지 않았는지에 대한 질문입니다.,{},{}
285,['Age'],False,"""ㅈ ㅗ ㅅ ㅡ ㄹ ㄲ ㅏ아세요. 남편 OOO ㅗ ㅁ도 데리고 가야지""",남편과 함께 가야 한다는 내용입니다.,{},{}
286,['Not Hate Speech'],False,박주미가 왜 강남미인이냐 ㅉㅉ 박주미는 모태미인인데,박주미는 태어날 때부터 아름다워서 강남미인으로 불린다.,{},{}
287,['Age'],False,트퀴들 진심 블핑 언급하는거 ㅈㄴ 역겹다 사이비 종자들,트퀴들이 블랙핑크를 언급하는 것이 매우 불쾌하다는 내용입니다.,{},{}
288,"['Origin', 'Religion']",True,"""메퇘지들 목 짤라서 광화문 광장에 시효해 놔야함""",트퀴들이 블랙핑크를 언급하는 것이 매우 불쾌하다는 내용입니다.,,"{'hate': {'filtered': True, 'severity': 'high'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': True, 'severity': 'medium'}}"
289,['Not Hate Speech'],False,"""베트남사람들도 자한당이 싫은가 보죠""",베트남 사람들도 자한당을 싫어하는 것 같습니다.,{},{}
290,['Not Hate Speech'],False,"""고름은 살이 ㅋㅋㅋ근데 당신은 왜구래? 살이아니라 근육이 된거같어 ㅋㅋ""","고름은 살 같지만, 상대방은 근육 같다고 말하고 있다.",{},{}
291,"['Age', 'Gender']",False,"""다까끼가 쓰다 버린 찢어진 콘돔좀비 틀딱 환관색히들 드럽게 앵앵거려쌌네! 발정났냐?""","다까끼가 버린 찢어진 콘돔과 관련된 불만을 표현하며, 특정 인물들을 비난하는 내용입니다.",{},{}
292,"['Politics', 'Physical']",False,"""그쪽은 자한당 쪽바리한테서 지원받아요? ㅋㅋ""","""그쪽은 자한당으로부터 지원을 받나요?""",{},{}
293,['Not Hate Speech'],False,40세.. 남자 40세 괜찮아요?,40세 남자에 대한 질문입니다. 괜찮은지에 대한 의문이 제기되고 있습니다.,{},{}
294,['Not Hate Speech'],False,박진희씨 응원합니다!!!♡♡♡,박진희씨를 응원합니다!,{},{}
295,['Not Hate Speech'],False,ㄹㅇ 캐릭터 ㅈㄴ 병맛이라고ㅋㅋㄱㅋ 신성록ㅋㅋ,신성록의 캐릭터가 매우 병맛이라는 내용입니다.,{},{}
296,['Not Hate Speech'],False,뭔놈의 성폭행 주장하는 여자들이 다 유흥업소 종사자냐..,"여성들이 성폭행을 주장하는 경우, 그들이 유흥업소에서 일하는 경우가 많다는 의문을 제기하는 내용입니다.",{},{}
297,['Gender'],False,"""아따 바퀴벌레들 많은거보소. 틀딱들아 논리로 좀 까봐라 쯧쯔""","바퀴벌레가 많다는 불만을 표현하며, 논리적으로 반박하라는 요청을 하고 있다.",{},{}
298,['Not Hate Speech'],False,이다해한테 왜키 열폭이 심하지 성형은 자기마음이지 남들이 왜 이래라저래라하는지..그리고 이다해 연기로 까지맙시다...,"이다해의 성형에 대한 비판이 과도하다는 의견이 있으며, 성형은 개인의 선택이므로 남들이 간섭할 필요가 없다는 주장을 담고 있다. 또한, 그녀의 연기에 대한 비판도 자제하자는 메시지가 있다.",{},{}
299,['Not Hate Speech'],False,나잇값,나잇값은 나이에 맞는 행동이나 태도를 의미합니다.,{},{}
300,['Politics'],False,"""짱깨들한테 팔리면 넥슨 탈퇴해야지""","""짱깨들한테 팔리면 넥슨 탈퇴해야지""는 넥슨이 특정 집단에게 팔리면 탈퇴하겠다는 의사를 표현한 문장입니다.",{},{}
301,['Not Hate Speech'],False,"""걍 버스도 지하철도 남자 전용 칸 여자전용칸 만들어줘 화장실처럼""",버스와 지하철에 남자 전용 칸과 여자 전용 칸을 만들어 달라는 요청입니다.,{},{}
302,['Not Hate Speech'],False,경찰조사 결과 나오기전까지 신중하자.. 아님말고는 이제 배울때 되지않았나?,경찰 조사 결과가 나오기 전까지 신중하게 행동하자는 내용이다. 이제는 함부로 말하지 말아야 할 때라는 점을 강조하고 있다.,{},{}
303,['Physical'],False,좌파배우 송강호ㅋㅋㅋㅋㅋ개그켬ㅋㅋ,좌파 배우 송강호에 대한 유머를 담고 있는 내용입니다.,{},{}
304,['Not Hate Speech'],False,"""한국 여자냐???? 와 진짜... 동양인이라서 난 중국녀를 생각했는데.......""","한국 여자라는 질문에 대해 놀라움을 표현하며, 동양인이라는 이유로 중국 여성을 떠올렸다는 내용입니다.",{},{}
305,"['Politics', 'Physical', 'Age']",False,"""대구새기들 존네 웃기네. 자한당족속들 캭퉤""","대구 사람들을 비웃고, 자유한국당 사람들을 비난하는 내용입니다.",{},{}
306,['Not Hate Speech'],False,경상도에서 그렇게도 생각한다 모그런 뉘앙스아닌가?,경상도에서 그런 생각을 한다는 뉘앙스가 있다.,{},{}
307,['Not Hate Speech'],False,밤에불려갔나?주석궁으로ㅋㅋ,밤에 주석궁으로 불려갔다는 내용입니다.,{},{}
308,['Not Hate Speech'],False,아... 아깝다 정말.. 매력적인 얼굴이라 눈이 가는 얼굴이었는데..,매력적인 얼굴이어서 아쉽다는 내용입니다.,{},{}
309,"['Physical', 'Age']",False,문재인이북한핵개발을막기위해노력한다고지랄엽차기하고자빠졌네.,문재인이 북한의 핵 개발을 막기 위해 노력하고 있다는 비판적인 의견을 표현하고 있습니다.,{},{}
310,['Not Hate Speech'],False,아이유 안나와서 노잼일듯.,아이유가 안 나와서 재미가 없을 것 같다.,{},{}
311,['Not Hate Speech'],False,좋은데 난 맨날 행복해여.행복해....매번 이런것만 못보여줘 안달난듯,"나는 항상 행복하지만, 그 행복을 잘 보여주지 못하는 것 같아 안타깝다.",{},{}
312,"['Origin', 'Age']",False,"""진짜 개 못생겼네 ㅅ1bal OOO 개루저새키""","요약: ""개가 못생겼다는 비난이 담긴 표현.""",{},{}
313,['Not Hate Speech'],False,빼로도 빼로 아빠도 졸귀ㅋㅋ,빼로도와 아빠가 매우 귀엽다는 내용입니다.,{},{}
314,['Not Hate Speech'],False,"""정치인들이 뭐라고 떠들던 올해 26인 저는 경제성장을 이룩한 박정희 대통령을 존경합니다""","""올해 26인인 저는 정치인들의 말과 상관없이 박정희 대통령의 경제성장을 존경합니다.""",{},{}
315,['Not Hate Speech'],False,너만 확신있으면 뭐하냐. 하정우 좀 그만 들먹여. 대놓고 결혼하자고 압박하네.,하정우를 자꾸 언급하며 결혼하자고 압박하는 것에 대한 불만을 표현하고 있다.,{},{}
316,"['Politics', 'Age']",False,응 좃본인~~~,요약: 일본인에 대한 언급.,{},{}
317,['Origin'],False,"""뇌졸증 걸려서 먹고자고 했더니 돼지가 되고있다봉가""","요약: 뇌졸중으로 인해 생활이 힘들어지고 있으며, 체중이 늘어나는 상황을 표현하고 있다.",{},{}
318,['Physical'],False,"""빨갱이 놈들 수준 하고는""","요약: ""빨갱이들의 수준이 낮다.""",{},{}
319,['Age'],False,적당히좀 하고 좀 꺼져라.. 티비만 틀면 니년이가..? 하 한심해라..,"요약: 상대방에게 적당히 행동하고 떠나라는 불만을 표현하고 있으며, TV를 켜면 그 사람에 대한 불만이 커진다는 내용이다.",{},{}
320,['Not Hate Speech'],False,ㅌㅋㅋㅋ진짜 위생만 쪼오끔 더 신경 써줫다면 좋앗으텐데,위생에 좀 더 신경 썼다면 좋았을 것이라는 의견입니다.,{},{}
321,['Not Hate Speech'],False,서언이 서준이 편 재미있게 잘봤었는데 아쉽네요. 더 멋진 형아로 성장하길~~,서언이 서준이 편이 재미있었지만 아쉬움이 남는다. 더 멋진 형아로 성장하길 바란다.,{},{}
322,['Not Hate Speech'],False,하객 만오천명까지는 않오지 ㅋ 1500명이면 몰라도 ㅋ,"하객 수는 만오천명까지는 오지 않을 것 같고, 1500명 정도는 가능하다는 내용입니다.",{},{}
323,['Not Hate Speech'],False,형사들 악의 하이퀄리티연기잘봤다나중에 나쁜녀석들3 합류해도되겠다..,"형사들의 연기가 뛰어나서, 나쁜 녀석들 3에 합류해도 좋겠다는 의견이다.",{},{}
324,['Not Hate Speech'],False,서태지는 뭐하냐..,서태지의 현재 활동에 대한 질문입니다.,{},{}
325,['Not Hate Speech'],False,저리 이쁜 여자가 밥을 사주면 너는 단백질 쉐이크를 바나나에 발라 드려라,이쁜 여자가 밥을 사주면 단백질 쉐이크를 바나나에 발라 먹으라는 내용입니다.,{},{}
326,"['Politics', 'Physical']",False,"""전라도 + 공무원 + 빨갱이 = 대국민 사기꾼""",전라도의 공무원을 빨갱이로 비난하며 대국민 사기꾼으로 묘사하는 내용입니다.,{},{}
327,['Not Hate Speech'],False,축하봇물????기자야 봇물뜻은알고 끄적이냐?,축하봇물이라는 표현에 대해 기자가 그 의미를 알고 있는지 질문하는 내용입니다.,{},{}
328,['Not Hate Speech'],False,"친일파조상이 한 업적에 별얘기없이지나갔던것같은데, 옹호하듯..침묵 비슷하게..기사읽은 기억이","친일파 조상의 업적에 대한 언급이 부족하고, 이를 옹호하거나 침묵하는 경향이 있었다는 기억이 있다.",{},{}
329,['Origin'],False,얘왜래띄어주냐 성형하고비호감인데,성형을 했지만 여전히 비호감이라는 내용입니다.,{},{}
330,['Not Hate Speech'],False,에휴 똑같은 레파토리~ 수술실에서 뛰쳐나오겠지~ 사골이냐 재탕삼탕 우려먹게~,수술실에서 반복되는 상황에 대한 불만을 표현하고 있습니다.,{},{}
331,"['Physical', 'Gender']",False,"""좌파꼰대들... 니들을 왜 그리 싫어하는지 알겠다 점점""",좌파꼰대들에 대한 반감이 커지고 있음을 표현한 문장입니다.,{},{}
332,['Politics'],False,"""왜 자꾸 짱개들이 들어오는거냐 대책 좀 세워라""","""짱개들이 들어오는 이유와 대책 필요""",{},{}
333,['Origin'],False,오징어 얼굴은 어쩔..,오징어의 얼굴에 대한 언급입니다.,{},{}
334,['Not Hate Speech'],False,첨부터 박진희였어도 잘어울렸을텐데,박진희가 처음부터 잘 어울렸을 것이라는 내용입니다.,{},{}
335,['Not Hate Speech'],False,얼굴크기 조막만한거 보소 캐부럽,얼굴 크기가 작아서 부럽다는 내용입니다.,{},{}
336,"['Origin', 'Age']",True,"""잇새끼는 진찐 원숭이 같이 생겼다 원숭이가 사람이랑 대화를 하자니..""",,{},"{'filtered': True, 'category': 'hate', 'severity': 'medium'}"
337,['Not Hate Speech'],False,근데 갑자기 사람들 반응 달라진이유가뭐임? 이제까지 나오는 작품마다 연기력 욕먹던데 이번작품에서는 그나마 스무스해서? 비중도 별로없던데.. 기사는 메인에 엄청 걸리네,"사람들의 반응이 갑자기 달라진 이유는 무엇인지 궁금해하며, 이전 작품에서는 연기력이 비판받았지만 이번 작품에서는 비교적 자연스럽게 연기한 것 같다는 의견이 있다. 비중이 크지 않은데도 기사가 많이 보도되고 있다.",{},{}
338,['Not Hate Speech'],False,꼴 좋다! 다시는 대한민국 영토에 발 붙이지마라! 연예계도 불매 갑시다!,대한민국 영토에 다시 오지 말라는 경고와 함께 연예계 불매를 촉구하는 내용입니다.,{},{}
339,['Not Hate Speech'],False,하여튼 한국애들 드라마에서도 8282 찾네 ㅎㅎㅎㅎㅎㅎㅎㅎ 드라마 좀 천천히 음미하면서 봐라...,"한국 드라마에서 8282를 찾는 모습이 보이는데, 드라마를 천천히 감상하라는 내용입니다.",{},{}
340,['Religion'],False,왜 빤쓰만 입고 나대지!!.. 애엄마가???,"빤쓰만 입고 있는 상황에 대한 의문을 제기하며, 애엄마에 대한 언급이 있는 내용입니다.",{},{}
341,['Not Hate Speech'],False,턱이 왜저래 징그럽다,턱이 이상하게 생겨서 불쾌하다.,{},{}
342,"['Politics', 'Origin', 'Religion']",False,"""별걸다사과하네... 한걱남자들 쿵쾅쿵쾅 야동못봐큰일났어아주..""",요약: 남자들이 야동을 못 보는 상황에 대해 불만을 표현하고 있다.,{},{}
343,['Not Hate Speech'],False,이런영화는 돈주고 보기는 아깝고 다운받아서 집에서는 볼만함 아직은 안풀린것 같은데 한달내로 나오니깐 여러분의 소중한 돈을 아끼세요^^,"이 영화는 돈 주고 보기 아깝고, 집에서 다운받아 보는 것이 좋다. 한 달 내로 나올 것 같으니 돈을 아끼는 것이 좋다.",{},{}
344,['Not Hate Speech'],False,물낭비는 참네 좋은일에 비난할 꼬투리가 없어서 물낭비냐 물아까워서 비내리면 바게쓰 놓고 물 받아쓰는거 아니면 물낭비드립은 앤간쳐라 개어이읎네 좋은일하는데 참,"물 낭비에 대한 비난이 없다는 점을 강조하며, 비 오는 날 물을 받아 쓰는 것처럼 물을 아끼는 방법이 있음을 언급하고 있습니다. 물 낭비에 대한 비난은 과도하다는 의견을 표현하고 있습니다.",{},{}
345,['Origin'],False,개못생겼어요 언니 ㅋㅋ,언니가 개가 못생겼다고 웃으며 말함.,{},{}
346,['Not Hate Speech'],False,설아 수아는 진짜 역대급 비글이다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,설아 수아는 매우 귀여운 비글이다.,{},{}
347,['Age'],False,피해자말은 반바지를입고있던나에게 갑자기손을넣어 휘저엇다 아주 소설을써라 그정도면 그자리서 바로 신고해야지 남자가 개ㅂㅅ도아니고 갑자기 바지속으로 손을넣어? 소설을써라,"피해자는 반바지를 입고 있던 중 갑자기 누군가가 손을 넣어 휘저었다고 주장하며, 이런 상황에서는 즉시 신고해야 한다고 강조하고 있다.",{},{}
348,['Not Hate Speech'],False,50살이 다되어가는데 건강한 아들낳는 병헌이형 정자 클라스에 반성하며 제 부뢀을 탁치고 억하고 갑니다..,50살이 다 되어가는 병헌이형이 건강한 아들을 낳기 위해 정자에 대해 반성하며 자신의 상황을 탁치고 억울함을 느낍니다.,{},{}
349,['Not Hate Speech'],False,"""니 아버지도 군대가기 전에 한번 사먹었을걸""","""너의 아버지도 군대 가기 전에 한 번 먹어봤을 거야.""",{},{}
350,['Not Hate Speech'],False,-,물론입니다! 주어진 문장을 제공해 주시면 요약해 드리겠습니다.,{},{}
351,['Physical'],False,중국몽을 함께 꾸는 문빙빙ㅎ,중국몽을 함께 꾸는 문빙빙.,{},{}
352,['Not Hate Speech'],False,"""제원이는 신천지 신도거나 부모가 신천지인듯""",제원이는 신천지 신도이거나 부모가 신천지 신도인 것으로 보인다.,{},{}
353,['Origin'],False,"""아 돼지가 비만 성인병으로 곧 죽을듯 하면서 안죽네. 제발 좀 죽어라""","돼지가 비만으로 인해 건강이 나빠지고 있지만, 아직 죽지 않고 있다. 죽기를 바라는 마음이 담겨 있다.",{},{}
354,['Profanity'],False,"""예수쟁이들 무식하니까 예수니 하나님이니 믿고 앉았겠지만 생각보다 더 하구나 ㅉㅉ""",예수 믿는 사람들이 무식하다고 비판하고 있다.,{},{}
355,['Not Hate Speech'],False,우리의 소원은 통일이 아닌데...어렸을때 시키니 불렀지 주입교육ㅎ,"우리의 진정한 소원은 통일이 아니며, 어릴 때 주입식 교육으로 통일을 강요받았다는 내용입니다.",{},{}
356,['Profanity'],False,개독은 믿고 거른다,개독은 믿지 않고 피한다.,{},{}
357,['Age'],False,여자들 이성경 ㅈㄴ싫어하네 ㅋㅋ 열등감 때문임?,여자들이 이성경을 매우 싫어하는 이유는 열등감 때문이라는 의견을 표현한 문장입니다.,{},{}
358,['Age'],False,염병하네 역시 프로포폴답네!,프로포폴에 대한 강한 반응을 나타내고 있다.,{},{}
359,"['Politics', 'Physical']",False,"""뇌가 홍어로 절여진 달창들은 당신의 논리적 반박에는 욕설을 달며 부정할 것입니다ㅋㅋ""","요약: ""홍어로 절여진 달창들은 논리적 반박에 욕설로 반응할 것입니다.""",{},{}
360,"['Age', 'Profanity']",False,"""니넨. 북조선이면 싹다 디졌어 남한이라 살았다 ..신천지 사이비ㅅㄲ들""","북조선에서는 상황이 좋지 않지만, 남한에서는 살고 있다는 내용입니다. 신천지와 같은 사이비 종교에 대한 부정적인 언급이 포함되어 있습니다.",{},{}
361,['Not Hate Speech'],False,"""아랫사람 따끔하게 야단치는데 의논하고 야단치나!!""",아랫사람을 야단칠 때 의논을 해야 한다는 내용입니다.,{},{}
362,['Not Hate Speech'],False,"""수술할때 여러번 찌름니까""",수술 시 여러 번 찔린다.,{},{}
363,['Origin'],False,"""이런 돼지 같은 것""","요약: ""돼지 같은 것""이라는 표현이 사용되었다.",{},{}
364,"['Origin', 'Age']",False,"""돼지같은 페미년들을 싫어하는거지 일반여성들은 좋아해""","일반 여성들은 좋아하지만, 특정 페미니즘을 지지하는 여성들은 싫어한다는 내용입니다.",{},{}
365,['Not Hate Speech'],False,"화장 떡칠이라 하는데..화장 지운것도 비슷하던데,,",화장을 많이 한 모습과 화장을 지운 모습이 비슷하다는 내용입니다.,{},{}
366,['Physical'],False,"""늙은이 맹바기 밑에서 재판 관여 한것 실토하네 죽을날이 가까워졌나?ㅋㅋ""","늙은이가 맹바기 아래에서 재판에 관여한 사실을 털어놓고 있으며, 죽음이 가까워졌다는 농담을 하고 있다.",{},{}
367,['Not Hate Speech'],False,얘는근데 인성이 별볼일없지않나?,요약: 이 사람의 인성이 좋지 않은 것 같다.,{},{}
368,['Not Hate Speech'],False,"""사진의 두 여자를 양다리 걸친거야?""","""사진 속 두 여자가 양다리를 걸쳤다는 말인가?""",{},{}
369,['Not Hate Speech'],False,일주일을 어떻게 기다림 예고 주세요 ㅠㅠㅠ 뀨아커플 꽃길만 걷자 ㅠㅠㅜ,일주일을 기다려야 한다는 내용과 함께 뀨아커플의 행복을 기원하는 메시지입니다.,{},{}
370,['Not Hate Speech'],False,남한테 인정받을려고 방송출연해서 애쓰지말고 그냥 조용히 잘살면 됨.,남에게 인정받으려 방송에 출연하기보다는 조용히 잘 사는 것이 좋다는 내용입니다.,{},{}
371,['Not Hate Speech'],True,남편을 망치는 지름길,,{},"{'filtered': True, 'category': 'violence', 'severity': 'medium'}"
